"Item Number","Category","Vendor Number","Pack","Bottle Volume (ml)","State Bottle Retail","County","Store Number","City","Bottles Sold","Popularity"
927083,1011600,"460",6,750,30,1,1,1,6,"Unpopular"
927098,1011600,"434",6,750,22.28,2,3,3,18,"Unpopular"
927099,1701100,"121",6,750,45,49,144,82,144,"Unpopular"
927101,1901200,"421",6,750,57,61,171,94,291,"Unpopular"
927114,NA,"259",6,750,37.44,77,279,122,1109,"Unpopular"
927117,1011600,"461",6,1000,28.8,7,9,7,204,"Unpopular"
927119,1011100,"115",6,750,60,19,37,25,168,"Unpopular"
927120,1901200,"619",12,750,19.5,1,1,1,24,"Unpopular"
927123,1011700,"240",6,750,37.59,2,2,2,48,"Unpopular"
927126,1011600,"619",6,750,36,6,7,7,72,"Unpopular"
927145,1011600,"214",6,750,96.75,4,4,4,54,"Unpopular"
927147,1011600,"287",3,750,55.05,22,30,26,30,"Unpopular"
927156,1011600,"240",6,750,41.25,34,82,47,171,"Unpopular"
927162,1011600,"634",6,750,28.91,2,3,2,24,"Unpopular"
927167,1011600,"434",12,750,11.25,3,4,3,96,"Unpopular"
927171,1011600,"434",6,750,37.5,1,1,1,1,"Unpopular"
927188,1011600,"634",6,750,50.6,3,4,4,42,"Unpopular"
927189,1011600,"065",6,750,35.43,27,64,38,528,"Unpopular"
927195,1011600,"163",6,750,28.5,1,1,1,6,"Unpopular"
927197,1011600,"634",6,750,43.37,2,2,2,24,"Unpopular"
927228,1011300,"259",3,750,104.01,22,30,24,30,"Unpopular"
927239,1011200,"232",6,750,37.5,4,6,5,702,"Unpopular"
927247,1091100,"163",6,750,18,1,1,1,6,"Unpopular"
927250,1011700,"469",6,750,30,9,15,10,132,"Unpopular"
927251,1011200,"469",6,750,22.5,13,17,16,174,"Unpopular"
927252,1011700,"469",6,750,37.5,23,47,30,344,"Unpopular"
927255,1011100,"154",12,750,4.64,2,2,2,1368,"Unpopular"
927265,1022200,"256",12,1000,23.15,2,2,2,60,"Unpopular"
927274,1011100,"086",12,375,8.76,1,1,1,12,"Unpopular"
927324,1091200,"346",6,750,16.5,6,6,6,78,"Unpopular"
927357,1011800,"125",6,750,37.5,2,2,2,1518,"Unpopular"
927363,1011800,"125",6,750,29.76,13,19,14,318,"Unpopular"
927367,NA,"125",6,750,36.26,6,18,13,4926,"Unpopular"
927372,1011400,"342",6,750,17.25,22,31,27,370,"Unpopular"
927425,1901200,"492",6,750,15,3,3,3,84,"Unpopular"
927454,1081300,"259",12,750,12,1,1,1,24,"Unpopular"
927461,1901200,"079",6,750,42.75,63,200,96,2433,"Unpopular"
927505,1901200,"136",6,750,40.01,2,2,2,12,"Unpopular"
927506,1011100,"115",6,750,90,19,41,29,169,"Unpopular"
927526,1011600,"391",6,750,60,1,1,1,6,"Unpopular"
927543,1011200,"065",12,50,8.1,4,4,4,228,"Unpopular"
927551,1011100,"065",6,1750,31.5,3,3,3,36,"Unpopular"
927589,1011200,"460",6,750,35.25,2,3,3,24,"Unpopular"
927615,1091000,"421",12,375,13.5,15,26,17,200,"Unpopular"
927617,1091000,"421",12,375,13.5,18,31,21,247,"Unpopular"
927618,1091000,"421",12,375,13.5,19,32,23,245,"Unpopular"
927636,1091100,"306",12,375,13.5,1,1,1,192,"Unpopular"
927650,1011200,"266",6,750,29.79,8,12,9,120,"Unpopular"
927666,1901200,"259",6,750,34.64,25,55,34,294,"Unpopular"
927676,1011200,"108",6,750,73.5,7,11,8,180,"Unpopular"
927677,1011500,"306",6,750,37.5,1,1,1,132,"Unpopular"
927699,1011100,"492",5,50,8.7,1,1,1,25,"Unpopular"
927707,1011100,"492",6,750,15,55,124,82,2169,"Unpopular"
927741,1011100,"492",6,1750,30,1,1,1,18,"Unpopular"
927774,1081600,"421",12,750,13.02,1,1,1,216,"Unpopular"
927785,1011200,"065",6,1750,31.49,1,1,1,12,"Unpopular"
927786,1011300,"363",6,750,37.34,2,2,2,12,"Unpopular"
927797,1011200,"478",6,750,40.01,6,9,7,132,"Unpopular"
927798,1011200,"306",6,750,28.5,1,2,1,600,"Unpopular"
927802,1081600,"421",12,750,13.02,1,1,1,12,"Unpopular"
927814,1011100,"492",6,750,15,9,10,9,95,"Unpopular"
927853,1011100,"208",6,750,24,1,1,1,6,"Unpopular"
927861,1011700,"469",6,750,52.5,25,49,32,278,"Unpopular"
927898,1011100,"492",6,750,15,18,19,19,225,"Unpopular"
927902,1012300,"971",6,750,41.82,1,1,1,6,"Unpopular"
927904,1011600,"395",12,750,28.13,1,1,1,12,"Unpopular"
927934,1011200,"306",6,750,37.5,1,1,1,475,"Unpopular"
927940,1091000,"389",6,750,52.47,1,1,1,6,"Unpopular"
927942,1091000,"389",6,750,59.96,1,1,1,6,"Unpopular"
927944,1091000,"389",6,750,59.96,1,1,1,6,"Unpopular"
927946,1011200,"266",6,750,48.62,3,3,3,18,"Unpopular"
927948,1011200,"266",6,750,56.13,3,3,3,18,"Unpopular"
927950,1011100,"631",6,750,34.5,1,1,1,6,"Unpopular"
927952,1011200,"631",6,750,43.25,3,3,3,30,"Unpopular"
927970,1011100,"491",12,750,34.5,1,1,1,12,"Unpopular"
927999,1011200,"507",6,750,45.26,10,16,13,221,"Unpopular"
928002,1011100,"079",6,750,45,6,8,7,100,"Unpopular"
928025,1011100,"370",6,750,22.49,1,1,1,6,"Unpopular"
